Metaphors;Psychotherapy;Podcasts;Subtitles
1;0.01723156310070335;0.006020832078993317;0.0069803046825435
2;0.0028719271834505584; 0.006181387601099805;0.004442012070709499
3;0.0006209572288541749;0.0004013888052662211;7.050812810649999e-05
4;0.0014747734185286653; 0.002006944026331106;7.050812810649999e-05
5;0.0006985768824609466;0.0004013888052662211;0.0023972763556209995
6;0.00031047861442708743;0.0012041664157986635;0.0006345731529584999
7;0.0006985768824609466;0.0008830553715856865;0.0005640650248519999
8;0.00038809826803385924;0.0002408332831597327;0.0019742275869819997
9;0.00023285896082031555; 0.0012041664157986635;0.00035254064053249996
10;0.00023285896082031555; 0.001766110743171373;0.0017627032026624996
11;0.0010090554968880342; 0.0016055552210648843;0.0011986381778104997
12;0.0;0.0004013888052662211;0.00014101625621299997
13;0.0019404913401692963; 0.003532221486342746;0.0007755894091714999
14;0.00031047861442708743;0.0002408332831597327;0.00028203251242599995
15;0.00031047861442708743;0.0008027776105324422;0.0006345731529584999
16;0.001552393072135437;0.005539165512673852; 0.0005640650248519999
17;0.0008538161896744904; 0.0007224998494791981;0.00035254064053249996
18;0.00015523930721354372; 0.0; 0.0
19;0.013661059034791846;0.01083749774218797;0.0081084347322475
20;0.00015523930721354372;0.0004816665663194654;0.0004935568967454999
21; 0.007761965360677185;0.004816665663194654;0.000846097537278
22;0.0038033630267318205; 0.0013647219379051517;0.0013396544340234999